ID,Address_in,Match,Match_type,Address_out,Coords,Line_ID,Line_side,State,County,Tract,Block
173,"00221 WHITNEY AV, New Haven, CT",Match,Exact,"221 WHITNEY AVE, NEW HAVEN, CT, 06510","-72.91987,41.31755",637984016,R,9,9,142000,3002
174,"00223 PROSPECTST, New Haven, CT",Match,Exact,"223 PROSPECT ST, NEW HAVEN, CT, 06511","-72.923615,41.318798",618696080,R,9,9,361402,1000
175,"00224 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
176,"00224 YORK ST, New Haven, CT",Match,Exact,"224 YORK ST, NEW HAVEN, CT, 06511","-72.93083,41.309505",3701131,L,9,9,361401,3007
177,"00225 PARK ST, New Haven, CT",Match,Exact,"225 PARK ST, NEW HAVEN, CT, 06511","-72.93324,41.309277",3701115,R,9,9,361401,3007
178,"00225 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
179,"00227 MANSFIELD ST, New Haven, CT",Match,Exact,"227 MANSFIELD ST, NEW HAVEN, CT, 06511","-72.925735,41.322617",637984137,R,9,9,141800,3004
180,"00230 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
181,"00232 YORK ST, New Haven, CT",Match,Exact,"232 YORK ST, NEW HAVEN, CT, 06511","-72.930725,41.30966",3701131,L,9,9,361401,3007
182,"00236 CHURCH ST, New Haven, CT",Match,Exact,"236 CHURCH ST, NEW HAVEN, CT, 06510","-72.92296,41.309822",3701209,L,9,9,361402,2000
183,"00236 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
184,"00240 YORK ST, New Haven, CT",Match,Exact,"240 YORK ST, NEW HAVEN, CT, 06511","-72.93061,41.30982",3701131,L,9,9,361401,3007
185,"00243 PROSPECTST, New Haven, CT",Match,Exact,"243 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92358,41.31894",618696080,R,9,9,361402,1001
186,"00246 CHURCH ST, New Haven, CT",Match,Exact,"246 CHURCH ST, NEW HAVEN, CT, 06510","-72.9229,41.309906",3701209,L,9,9,361402,2000
187,"00246 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
188,"00248 PARK ST, New Haven, CT",Match,Exact,"248 PARK ST, NEW HAVEN, CT, 06511","-72.93248,41.3103",3701116,L,9,9,361401,3006
189,"00250 CHURCH ST, New Haven, CT",Match,Exact,"250 CHURCH ST, NEW HAVEN, CT, 06510","-72.92287,41.30994",3701209,L,9,9,361402,2000
190,"00256 WHITNEY AV, New Haven, CT",Match,Exact,"256 WHITNEY AVE, NEW HAVEN, CT, 06511","-72.91986,41.317604",637984016,L,9,9,361402,1000
191,"00256 YORK ST, New Haven, CT",Match,Exact,"256 YORK ST, NEW HAVEN, CT, 06511","-72.93039,41.310135",3701131,L,9,9,361401,3007
192,"00258 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
193,"00265 MANSFIELD ST, New Haven, CT",Match,Exact,"265 MANSFIELD ST, NEW HAVEN, CT, 06511","-72.92541,41.3234",637984137,R,9,9,141800,3004
194,"00266 CEDAR ST, New Haven, CT",Match,Exact,"266 CEDAR ST, NEW HAVEN, CT, 06519","-72.932365,41.299675",3701257,L,9,9,140300,2023
195,"00270 CONGRESS AV, New Haven, CT",Match,Exact,"270 CONGRESS AVE, NEW HAVEN, CT, 06519","-72.93289,41.302044",3701252,L,9,9,140300,2013
196,"00270 CROWN ST, New Haven, CT",Match,Exact,"270 CROWN ST, NEW HAVEN, CT, 06511","-72.930435,41.30631",3701128,L,9,9,140100,1017
197,"00270 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
