Unique ID,Exempt Code,Address,Owner Or Facility,,Volume And Page,Acreage,Land Assessment,Building Assessment,Total Assessment,OPMAssessment
263 0126 00201,PABX,00270 CONGRESS AV,YALE UNIVERSITY,,7879/317,0.32,235340,192640,427980,427980
262 0220 00300,PABX,00270 CROWN ST,YALE UNIVERSITY,,0/0,0.19,285530,983360,1268890,1268890
277 0114 01300,PABX,00270 WASHINGTON AV,BETA 14 LLC,,8404/307,0.15,49210,0,49210,49210
280 0250 01001,PABX,00272 ELM ST,YALE UNIV CONTROLLER,,3669/0,0.24,295540,2797900,3093440,3093440
246 0362 04000,PABX,00276 PROSPECT ST,YALE UNIVERSITY,,0/0,1.23,387660,1152550,1540210,1540210
285 0392 00200,PABX,00276 WINCHESTER AV,FENIX I LLC,,8793/227,3.11,155750,18820200,18975950,18975950
245 0363 00400,PABX,00285 PROSPECT ST,YALE UNIVERSITY,,0/0,0.69,592690,36273860,36866550,36866550
243 0289 01200,PABX,00294 TEMPLE ST,YALE UNIVERSITY,,0/0,0.08,492730,1077160,1569890,1569890
261 0231 02100,PABX,00295 CROWN ST,YALE UNIVERSITY,,0/0,0.16,278390,358890,637280,637280
247 0394 00900,PABX,00295 MANSFIELD ST,YALE UNIVERSITY,,0/0,1.65,455000,2096500,2551500,2551500
280 0250 00902,PABX,00296 ELM ST,YALE UNIVERSITY,,0/0,0.14,160860,283710,444570,444570
251 0509 00300,PABX,00300 EAST ROCK RD,ALBERTUS MAGNUS COLLEGE,,0/0,1.4,220430,844480,1064910,1064910
261 0231 02200,PABX,00301 CROWN ST,YALE UNIVERSITY,,0/0,0.15,275800,372820,648620,648620
245 0363 00500,PABX,00301 PROSPECT ST,YALE UNIVERSITY,,0/0,1.36,267890,980770,1248660,1248660
243 0289 01100,PABX,00302 TEMPLE ST,YALE UNIVERSITY,,0/0,0.15,552580,921970,1474550,1474550
260 0307 00400,PABX,00302 YORK ST,YALE UNIVERSITY,,0/0,0.05,236040,0,236040,236040
280 0250 00901,PABX,00304 ELM ST,YALE UNIVERSITY,,0/0,0.09,88270,0,88270,88270
261 0231 02300,PABX,00307 CROWN ST,YALE UNIVERSITY,,0/0,0.28,304010,1288140,1592150,1592150
221 0396 01000,PABX,00309 EDWARDS ST,YALE UNIVERSITY,,0/0,0.59,139160,1125180,1264340,1264340
280 0250 00801,PABX,00310 ELM ST,YALE UNIVERSITY,,3669/0,0.07,241780,4238710,4480490,4480490
246 0362 03700,PABX,00310 PROSPECT ST,YALE UNIVERSITY,,4249/91,0.59,292460,550550,843010,843010
243 0289 01000,PABX,00310 TEMPLE ST,YALE UNIVERSITY,,0/0,0.45,678440,27930,706370,706370
261 0231 00100,PABX,00313 CROWN ST,YALE UNIVERSITY,,0/0,0.1,253610,624470,878080,878080
246 0362 03600,PABX,00314 PROSPECT ST,YALE UNIVERSITY,,4249/91,0.81,303800,376530,680330,680330
245 0363 00900,PABX,00320 EDWARDS ST,YALE UNIVERSITY,,5150/8,2.24,1411970,5933690,7345660,7345660
243 0289 00900,PABX,00320 TEMPLE ST,YALE UNIVERSITY,,0/0,0.28,608090,362110,970200,970200
260 0307 00200,PABX,00320 YORK ST,YALE UNIVERSITY,,0/0,1.67,1311870,30128910,31440780,31440780
280 0230 02300,PABX,00321 CROWN ST,YALE UNIVERSITY,,7138/19,0.14,322910,17570,340480,340480
243 0289 00800,PABX,00328 TEMPLE ST,YALE UNIVERSITY,,0/0,0.22,584500,283150,867650,867650
261 0252 00400,PABX,00330 COLLEGE ST,YALE UNIVERSITY,,5150/1,2.88,2262470,33776050,36038520,36038520
263 0136 00100,PABX,00333 CEDAR ST,YALE UNIVERSITY,,0/0,5.51,4328450,156402890,160731340,160731340
280 0230 02400,PABX,00333 CROWN ST,YALE UNIVERSITY,,7138/19,0.13,173670,14210,187880,187880
247 0395 01700,PABX,00335 PROSPECT ST,YALE UNIVERSITY,,0/0,3.76,1999760,15190,2014950,2014950
247 0395 00100,PABX,00339 PROSPECT ST,YALE UNIVERSITY,,2440/195,7.17,1304380,18336850,19641230,19641230
245 0363 00800,PABX,00340 EDWARDS ST,YALE UNIVERSITY,,0/0,0.51,144550,534660,679210,679210
280 0230 02601,PABX,00341 CROWN ST,YALE UNIVERSITY,,5922/293,0.32,175420,267540,442960,442960
247 0395 01802,PABX,00341 SAINT RONAN ST,YALE UNIVERSITY,,0/0,0.11,18340,0,18340,18340
248 0395 00203,PABX,00341 SAINT RONAN ST,YALE UNIVERSITY,,0/0,5.76,2722860,0,2722860,2722860
285 0392 00100,PABX,00344 WINCHESTER AV,RENAISSANCE I LLC,,9156/337,15.25,1123150,13226640,14349790,14349790
