Unique ID,Street address,City,State,ZIP
403,5 FRANCES HUNTER DR,New Haven,CT,NA
404,3 FRANCES HUNTER DR,New Haven,CT,NA
405,1 FRANCES HUNTER DR,New Haven,CT,NA
406,2 FRANCES HUNTER DR,New Haven,CT,NA
407,4 FRANCES HUNTER DR,New Haven,CT,NA
408,6 FRANCES HUNTER DR,New Haven,CT,NA
409,869 ORANGE ST #5W,New Haven,CT,NA
410,8 FRANCES HUNTER DR,New Haven,CT,NA
411,10 FRANCES HUNTER DR,New Haven,CT,NA
412,12 FRANCES HUNTER DR,New Haven,CT,NA
413,14 FRANCES HUNTER DR,New Haven,CT,NA
414,16 FRANCES HUNTER DR,New Haven,CT,NA
415,18 FRANCES HUNTER DR,New Haven,CT,NA
416,20 FRANCES HUNTER DR,New Haven,CT,NA
417,22 FRANCES HUNTER DR,New Haven,CT,NA
418,24 FRANCES HUNTER DR,New Haven,CT,NA
419,26 FRANCES HUNTER DR,New Haven,CT,NA
420,869 ORANGE ST #6W,New Haven,CT,NA
421,28 FRANCES HUNTER DR,New Haven,CT,NA
422,30 FRANCES HUNTER DR,New Haven,CT,NA
423,32 FRANCES HUNTER DR,New Haven,CT,NA
424,43 CHESTNUT ST #107,New Haven,CT,NA
425,43 CHESTNUT ST #108,New Haven,CT,NA
426,43 CHESTNUT ST #109,New Haven,CT,NA
427,43 CHESTNUT ST #110,New Haven,CT,NA
428,43 CHESTNUT ST #111,New Haven,CT,NA
429,43 CHESTNUT ST #207,New Haven,CT,NA
430,53 FLORENCE AV,New Haven,CT,NA
431,869 ORANGE ST #7W,New Haven,CT,NA
432,43 CHESTNUT ST #208,New Haven,CT,NA
433,43 CHESTNUT ST #209,New Haven,CT,NA
434,43 CHESTNUT ST #210,New Haven,CT,NA
435,43 CHESTNUT ST #211,New Haven,CT,NA
436,43 CHESTNUT ST #301,New Haven,CT,NA
437,43 CHESTNUT ST #302,New Haven,CT,NA
438,43 CHESTNUT ST #303,New Haven,CT,NA
439,43 CHESTNUT ST #304,New Haven,CT,NA
440,43 CHESTNUT ST #305,New Haven,CT,NA
441,43 CHESTNUT ST #306,New Haven,CT,NA
442,869 ORANGE ST #8W,New Haven,CT,NA
443,43 CHESTNUT ST #307,New Haven,CT,NA
444,43 CHESTNUT ST #308,New Haven,CT,NA
445,43 CHESTNUT ST #309,New Haven,CT,NA
446,43 CHESTNUT ST #310,New Haven,CT,NA
447,43 CHESTNUT ST #311,New Haven,CT,NA
448,43 CHESTNUT ST #312,New Haven,CT,NA
449,869 ORANGE ST #9W,New Haven,CT,NA
450,8 HUGHES PL UNIT D-1E,New Haven,CT,NA
451,8 HUGHES PL UNIT D-1W,New Haven,CT,NA
452,8 HUGHES PL UNIT D-1N,New Haven,CT,NA
453,869 ORANGE ST #10W,New Haven,CT,NA
454,869 ORANGE ST #1E,New Haven,CT,NA
455,8 HUGHES PL UNIT D-2E,New Haven,CT,NA
456,8 HUGHES PL UNIT D-2W,New Haven,CT,NA
457,8 HUGHES PL UNIT D-3E,New Haven,CT,NA
458,8 HUGHES PL UNIT D-3W,New Haven,CT,NA
459,43 CHESTNUT ST UNIT 204,New Haven,CT,NA
460,43 CHESTNUT ST UNIT 205,New Haven,CT,NA
461,43 CHESTNUT ST UNIT 206,New Haven,CT,NA
462,43 CHESTNUT ST UNIT 50,New Haven,CT,NA
463,66 ANDERSON ST,New Haven,CT,NA
464,43 CHESTNUT ST UNIT 60,New Haven,CT,NA
465,43 CHESTNUT ST UNIT 70,New Haven,CT,NA
466,43 CHESTNUT ST UNIT 80,New Haven,CT,NA
467,43 CHESTNUT ST UNIT 90,New Haven,CT,NA
468,43 CHESTNUT ST UNIT 101,New Haven,CT,NA
469,43 CHESTNUT ST UNIT 102,New Haven,CT,NA
470,43 CHESTNUT ST UNIT 103,New Haven,CT,NA
471,43 CHESTNUT ST UNIT 104,New Haven,CT,NA
472,43 CHESTNUT ST UNIT 105,New Haven,CT,NA
473,43 CHESTNUT ST UNIT 106,New Haven,CT,NA
474,62 ANDERSON ST,New Haven,CT,NA
475,43 CHESTNUT ST UNIT 201,New Haven,CT,NA
476,43 CHESTNUT ST UNIT 202,New Haven,CT,NA
477,43 CHESTNUT ST UNIT 203,New Haven,CT,NA
478,58 ANDERSON ST,New Haven,CT,NA
479,54 ANDERSON ST,New Haven,CT,NA
480,WATER ST,New Haven,CT,NA
481,LONG WHARF DR,New Haven,CT,NA
482,WHALLEY AV,New Haven,CT,NA
483,124 COURT ST #1,New Haven,CT,NA
484,124 COURT ST #2,New Haven,CT,NA
485,124 COURT ST #3,New Haven,CT,NA
486,124 COURT ST #4,New Haven,CT,NA
487,61 CANNER ST,New Haven,CT,NA
488,124 COURT ST #5,New Haven,CT,NA
489,124 COURT ST #6,New Haven,CT,NA
490,124 COURT ST #9,New Haven,CT,NA
491,124 COURT ST #7,New Haven,CT,NA
492,124 COURT ST #10,New Haven,CT,NA
493,124 COURT ST #11,New Haven,CT,NA
494,124 COURT ST #12,New Haven,CT,NA
495,124 COURT ST #13,New Haven,CT,NA
496,57 FLORENCE AV,New Haven,CT,NA
497,63 CANNER ST,New Haven,CT,NA
498,124 COURT ST #301,New Haven,CT,NA
499,124 COURT ST #302,New Haven,CT,NA
500,124 COURT ST #303,New Haven,CT,NA
501,124 COURT ST #304,New Haven,CT,NA
502,124 COURT ST #305,New Haven,CT,NA
503,124 COURT ST #306,New Haven,CT,NA
504,124 COURT ST #307,New Haven,CT,NA
505,124 COURT ST #401,New Haven,CT,NA
506,63 CANNER ST #.5,New Haven,CT,NA
507,124 COURT ST #402,New Haven,CT,NA
508,124 COURT ST #403,New Haven,CT,NA
509,124 COURT ST #404,New Haven,CT,NA
510,124 COURT ST #405,New Haven,CT,NA
