"","Unique.ID","Exempt.Code","Address","Owner.Or.Facility","X","Volume.And.Page","Acreage","Land.Assessment","Building.Assessment","Total.Assessment","OPMAssessment","ID","Address_in","Match","Match_type","Address_out","Coords","Line_ID","Line_side","State","County","Tract","Block","FIPS"
"63","264 0120 00900","PABX","00039 PRINCE ST","YALE UNIVERSITY",NA,"8314/77",0.24,34860,0,34860,34860,63,"00039 PRINCE ST, New Haven, CT","Match","Exact","39 PRINCE ST, NEW HAVEN, CT, 06519","-72.930435,41.30158",3744444,"L",9,9,140300,2017,"09009140300"
"64","377 1080 00500","PABX","00040 CENTRAL AV","YALE UNIVERSITY",NA,"0/0",6,799470,1734460,2533930,2533930,64,"00040 CENTRAL AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"65","296 0328 01900","PABX","00040 DIXWELL AV","YALE UNIVERSITY",NA,"8314/220",0.33,208250,0,208250,208250,65,"00040 DIXWELL AV, New Haven, CT","Match","Exact","40 DIXWELL AVE, NEW HAVEN, CT, 06511","-72.932625,41.314404",3701067,"L",9,9,141600,3010,"09009141600"
"66","277 0123 01700","PABX","00040 GILBERT ST","YALE UNIVERSITY",NA,"4456/296",0.1,92540,6720,99260,99260,66,"00040 GILBERT ST, New Haven, CT","Match","Exact","40 GILBERT ST, NEW HAVEN, CT, 06519","-72.93397,41.300972",3701250,"L",9,9,140300,2022,"09009140300"
"67","244 0365 00500","PABX","00043 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.38,210490,2827440,3037930,3037930,67,"00043 HILLHOUSE AV, New Haven, CT","Match","Exact","43 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92329,41.314243",3701169,"R",9,9,361402,1002,"09009361402"
"68","244 0364 00400","PABX","00046 HILLHOUSE AV","YALE UNIVERSITY",NA,"3032/146",1.82,349440,1255870,1605310,1605310,68,"00046 HILLHOUSE AV, New Haven, CT","Match","Exact","46 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.9233,41.314236",3701169,"L",9,9,361402,1003,"09009361402"
"69","244 0365 00600","PABX","00047 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.37,209720,0,209720,209720,69,"00047 HILLHOUSE AV, New Haven, CT","Match","Exact","47 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92324,41.314346",3701169,"R",9,9,361402,1002,"09009361402"
"70","296 0328 02200","PABX","00049 GOFFE ST","YALE UNIVERSITY",NA,"8608/74",0.32,65590,0,65590,65590,70,"00049 GOFFE ST, New Haven, CT","Match","Exact","49 GOFFE ST, NEW HAVEN, CT, 06511","-72.93346,41.314182",3700394,"R",9,9,141600,3010,"09009141600"
"71","281 0329 00300","PABX","00050 ASHMUN ST","YALE UNIVERSITY",NA,"0/0",0.65,777140,75810,852950,852950,71,"00050 ASHMUN ST, New Haven, CT","Match","Exact","50 ASHMUN ST, NEW HAVEN, CT, 06511","-72.928635,41.314236",3701102,"L",9,9,361402,1009,"09009361402"
"72","256 0393 00300","PABX","00050 DIVISION ST","YALE UNIVERSITY",NA,"9764/201",2.9,533960,2931390,3465350,3465350,72,"00050 DIVISION ST, New Haven, CT","Match","Exact","50 DIVISION ST, NEW HAVEN, CT, 06511","-72.92454,41.325016",3699818,"L",9,9,141800,3004,"09009141800"
"73","259 0330 00100","PABX","00050 TOWER PKWY","YALE UNIVERSITY",NA,"0/0",2,1571150,15928570,17499720,17499720,73,"00050 TOWER PKWY, New Haven, CT","Match","Exact","50 TOWER PKWY, NEW HAVEN, CT, 06511","-72.93151,41.313103",3701082,"L",9,9,361402,1007,"09009361402"
"74","244 0365 00700","PABX","00051 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.39,140560,2255960,2396520,2396520,74,"00051 HILLHOUSE AV, New Haven, CT","Match","Exact","51 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.9232,41.314445",3701169,"R",9,9,361402,1002,"09009361402"
"75","244 0365 00800","PABX","00055 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.63,220500,1819160,2039660,2039660,75,"00055 HILLHOUSE AV, New Haven, CT","Match","Exact","55 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92316,41.314545",3701169,"R",9,9,361402,1002,"09009361402"
"76","223 0382 00170","PABX","00055 WHITNEY AV 3","YALE UNIVERSITY",NA,"6170/170",0,0,1106280,1106280,1106280,76,"00055 WHITNEY AV 3, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
