GEOID,race,hs,college,pov,ins,mobi,estimate,race_prop,rent
09009157300,M,NaN,NaN,NaN,NaN,NaN,0,0,NaN
09009157400,M,1,0,0,0,0,31,0.0072992700729927005,NaN
09009160100,M,1,1,0,0,0,110,0.03288490284005979,0
09009160200,M,1,1,0.26666666666666666,0,0.5866666666666667,75,0.013178703215603585,0
09009161100,M,0.7310344827586207,0.06896551724137931,0,0.19402985074626866,0,201,0.03651889534883721,0.4153846153846154
09009165100,M,0.8222222222222222,0.2222222222222222,0.15441176470588236,0,0,136,0.028960817717206135,0.45901639344262296
09009165200,M,1,1,0,0,0,91,0.03609678698928996,0.5384615384615384
09009165300,M,1,1,0,0,0.26315789473684215,65,0.02827316224445411,NaN
09009165400,M,1,0.7843137254901961,0.39901477832512317,0,0.12560386473429952,207,0.04133386581469649,1
09009165500,M,0.31034482758620685,0.15517241379310345,0.4632768361581921,0,0,177,0.03542834267413931,0.3023255813953488
09009165600,M,1,0.21505376344086022,0.6622950819672131,0,0.239344262295082,305,0.04402424942263279,0.4492753623188406
09009165700,M,1,0.22727272727272727,0.003289473684210526,0.12612612612612611,0.17717717717717718,333,0.061598224195338516,0
09009165801,M,NaN,NaN,0.5,0,0,30,0.004962779156327543,1
09009165802,M,0.5789473684210527,0,0,0,0.09473684210526312,95,0.021406038756196486,0
09009165900,M,1,0,0,0,0.22807017543859653,114,0.014232209737827715,NaN
09009166001,M,1,0.4206896551724138,0,0.3436426116838488,0.711340206185567,291,0.0401656314699793,0.8932038834951457
09009166002,M,1,0,0,0,0.37419354838709673,169,0.02247340425531915,1
09009167100,M,1,0.9262295081967213,0,0,0,188,0.023209876543209877,0.5409836065573771
09009167201,M,1,0,0.15254237288135594,0,0.15254237288135597,59,0.01413850946561227,0
09009167202,M,0.8529411764705882,0.35294117647058826,0,0.07563025210084033,0,119,0.025010508617065993,0
09009167300,M,1,0.42424242424242425,0,0,0.6375,80,0.011052777010223818,0
09009170100,M,1,0,0.6842105263157895,0,0.20512820512820518,39,0.022753792298716453,1
09009170200,M,1,0,0,0,0,10,0.0053734551316496505,0.6
09009170300,M,1,0,0.010416666666666666,0,0.01041666666666663,96,0.049281314168377825,1
09009170400,M,1,0.37209302325581395,0,0.06422018348623854,0.17431192660550454,109,0.0554989816700611,0.37037037037037035
09009170500,M,1,0.29411764705882354,0,0.08085106382978724,0,235,0.03558449424591157,0
09009170600,M,0.736842105263158,0,0.2631578947368421,0,0,38,0.014448669201520912,0.5789473684210527
09009170700,M,1,0.5319148936170213,0,0,0.21126760563380287,71,0.026472781506338552,0
09009170800,M,0.5588235294117647,0,0,0.15584415584415584,0,92,0.013112884834663626,1
09009170900,M,0,0,0,0,0,75,0.03342245989304813,1
09009171000,M,0.9538461538461538,0.5076923076923077,0.16216216216216217,0,0.04054054054054057,74,0.050580997949419004,0.5365853658536586
09009171100,M,0,0,0,1,1,57,0.009484193011647254,0
09009171200,M,0.8416666666666667,0,0.4296875,0.07421875,0.40234375,256,0.02848876029379034,0.6363636363636364
09009171300,M,1,0,1,0,0.9636363636363636,55,0.013920526449000253,1
09009171400,M,1,1,0,0,0.040000000000000036,50,0.027307482250136537,1
09009171500,M,0.7840909090909091,0,0.4316546762589928,0.2302158273381295,0.3597122302158273,139,0.04475209272376046,0.7681159420289855
09009171600,M,1,0.12903225806451613,0,0,0.3142857142857143,105,0.020463847203274217,0.7619047619047619
09009171700,M,1,0,0,0,0,44,0.010105649977032614,0
09009175100,M,NaN,NaN,0,0,0.11111111111111116,26,0.007782101167315175,NaN
09009175200,M,NaN,NaN,0.2857142857142857,0,0,28,0.011133200795228629,NaN
