Unique ID,Street address,City,State,ZIP
10304,19 STEVENS ST,New Haven,CT,
10305,21 STEVENS ST,New Haven,CT,
10306,23 STEVENS ST,New Haven,CT,
10307,9 KNEELAND RD,New Haven,CT,
10308,25 STEVENS ST,New Haven,CT,
10309,27 STEVENS ST,New Haven,CT,
10310,29 STEVENS ST,New Haven,CT,
10311,31 STEVENS ST,New Haven,CT,
10312,33 STEVENS ST,New Haven,CT,
10313,35 STEVENS ST,New Haven,CT,
10314,37 STEVENS ST,New Haven,CT,
10315,39 STEVENS ST,New Haven,CT,
10316,41 STEVENS ST,New Haven,CT,
10317,43 STEVENS ST,New Haven,CT,
10318,675 TOWNSEND AV #176,New Haven,CT,
10319,25 KNEELAND RD,New Haven,CT,
10320,45 STEVENS ST,New Haven,CT,
10321,47 STEVENS ST,New Haven,CT,
10322,49 STEVENS ST,New Haven,CT,
10323,51 STEVENS ST,New Haven,CT,
10324,53 STEVENS ST,New Haven,CT,
10325,55 STEVENS ST,New Haven,CT,
10326,57 STEVENS ST,New Haven,CT,
10327,61 STEVENS ST,New Haven,CT,
10328,63 STEVENS ST,New Haven,CT,
10329,65 STEVENS ST,New Haven,CT,
10330,33 KNEELAND RD,New Haven,CT,
10331,69 STEVENS ST,New Haven,CT,
10332,124 SYLVAN AV,New Haven,CT,
10333,120 SYLVAN AV,New Haven,CT,
10334,114 SYLVAN AV,New Haven,CT,
10335,112 SYLVAN AV,New Haven,CT,
10336,108 SYLVAN AV,New Haven,CT,
10337,104 SYLVAN AV,New Haven,CT,
10338,98 SYLVAN AV,New Haven,CT,
10339,76 SYLVAN AV,New Haven,CT,
10340,35 KNEELAND RD,New Haven,CT,
10341,64 ELLIOTT ST,New Haven,CT,
10342,62 ELLIOTT ST,New Haven,CT,
10343,52 ELLIOTT ST,New Haven,CT,
10344,50 ELLIOTT ST,New Haven,CT,
10345,48 ELLIOTT ST,New Haven,CT,
10346,46 ELLIOTT ST,New Haven,CT,
10347,44 ELLIOTT ST,New Haven,CT,
10348,42 ELLIOTT ST,New Haven,CT,
10349,40 ELLIOTT ST,New Haven,CT,
10350,38 ELLIOTT ST,New Haven,CT,
10351,37 KNEELAND RD,New Haven,CT,
